Change Component Footprint: Designator=D? Old Footprint=New footprint 1 New Footprint=New footprint 1
Change component parameters: Designator = "R?" ("R?"); Footprint = "AXIAL-0.3"; UniqueID = "\DIBBSXYU" ("\DIBBSXYU")
Add component (AddParameter): Name = "Polarity"; Value = "PNP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "510"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "510"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "510"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "220"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "510"; VariantName = "[No Variations]"
Added Component: Designator=R?(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100"; VariantName = "[No Variations]"
Added Pin To Net: NetName=3V3 Pin=P?-2
Added Net: Name=3V3
Added Pin To Net: NetName=5V_PRESWITCH Pin=P?-3
Added Pin To Net: NetName=5V_PRESWITCH Pin=SW?-1
Added Net: Name=5V_PRESWITCH
Added Pin To Net: NetName=5V Pin=D?-2
Added Pin To Net: NetName=5V Pin=D?-2
Added Pin To Net: NetName=5V Pin=D?-2
Added Pin To Net: NetName=5V Pin=D?-2
Added Pin To Net: NetName=5V Pin=SW?-2
Added Net: Name=5V
Added Pin To Net: NetName=B1 Pin=P?-16
Added Pin To Net: NetName=B1 Pin=Q?-2
Added Net: Name=B1
Added Pin To Net: NetName=B2 Pin=P?-13
Added Pin To Net: NetName=B2 Pin=Q?-2
Added Net: Name=B2
Added Pin To Net: NetName=B3 Pin=P?-12
Added Pin To Net: NetName=B3 Pin=Q?-2
Added Net: Name=B3
Added Pin To Net: NetName=B4 Pin=P?-9
Added Pin To Net: NetName=B4 Pin=Q?-2
Added Net: Name=B4
Added Pin To Net: NetName=G1 Pin=P?-15
Added Pin To Net: NetName=G1 Pin=Q?-2
Added Net: Name=G1
Added Pin To Net: NetName=G2 Pin=P?-12
Added Pin To Net: NetName=G2 Pin=Q?-2
Added Net: Name=G2
Added Pin To Net: NetName=G3 Pin=P?-11
Added Pin To Net: NetName=G3 Pin=Q?-2
Added Net: Name=G3
Added Pin To Net: NetName=G4 Pin=P?-8
Added Pin To Net: NetName=G4 Pin=Q?-2
Added Net: Name=G4
Added Pin To Net: NetName=GND Pin=P?-2
Added Pin To Net: NetName=GND Pin=P?-4
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=Q?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Net: Name=GND
Added Pin To Net: NetName=HI_LED Pin=DS?-1
Added Pin To Net: NetName=HI_LED Pin=P?-4
Added Net: Name=HI_LED
Added Pin To Net: NetName=Key1 Pin=P?-9
Added Net: Name=Key1
Added Pin To Net: NetName=Key2 Pin=P?-8
Added Net: Name=Key2
Added Pin To Net: NetName=Key3 Pin=P?-7
Added Net: Name=Key3
Added Pin To Net: NetName=Key4 Pin=P?-6
Added Net: Name=Key4
Added Pin To Net: NetName=LOW_LED Pin=DS?-1
Added Pin To Net: NetName=LOW_LED Pin=P?-6
Added Net: Name=LOW_LED
Added Pin To Net: NetName=MED_LED Pin=DS?-1
Added Pin To Net: NetName=MED_LED Pin=P?-5
Added Net: Name=MED_LED
Added Pin To Net: NetName=NetD?_1 Pin=D?-1
Added Pin To Net: NetName=NetD?_1 Pin=R?-2
Added Net: Name=NetD?_1
Add Net: Net with name "NetD?_1" already exists
Add Net: Net with name "NetD?_1" already exists
Add Net: Net with name "NetD?_1" already exists
Added Pin To Net: NetName=NetD?_3 Pin=D?-3
Added Pin To Net: NetName=NetD?_3 Pin=R?-2
Added Net: Name=NetD?_3
Add Net: Net with name "NetD?_3" already exists
Add Net: Net with name "NetD?_3" already exists
Add Net: Net with name "NetD?_3" already exists
Added Pin To Net: NetName=NetD?_4 Pin=D?-4
Added Pin To Net: NetName=NetD?_4 Pin=R?-2
Added Net: Name=NetD?_4
Add Net: Net with name "NetD?_4" already exists
Add Net: Net with name "NetD?_4" already exists
Add Net: Net with name "NetD?_4" already exists
Added Pin To Net: NetName=NetDS?_2 Pin=DS?-2
Added Pin To Net: NetName=NetDS?_2 Pin=R?-2
Added Net: Name=NetDS?_2
Add Net: Net with name "NetDS?_2" already exists
Add Net: Net with name "NetDS?_2" already exists
Added Pin To Net: NetName=NetQ?_3 Pin=Q?-3
Added Pin To Net: NetName=NetQ?_3 Pin=R?-1
Added Net: Name=NetQ?_3
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Add Net: Net with name "NetQ?_3" already exists
Added Pin To Net: NetName=R1 Pin=P?-14
Added Pin To Net: NetName=R1 Pin=Q?-2
Added Net: Name=R1
Added Pin To Net: NetName=R2 Pin=P?-11
Added Pin To Net: NetName=R2 Pin=Q?-2
Added Net: Name=R2
Added Pin To Net: NetName=R3 Pin=P?-10
Added Pin To Net: NetName=R3 Pin=Q?-2
Added Net: Name=R3
Added Pin To Net: NetName=R4 Pin=P?-7
Added Pin To Net: NetName=R4 Pin=Q?-2
Added Net: Name=R4
Added Pin To Net: NetName=VBAT Pin=P?-1
Added Pin To Net: NetName=VBAT Pin=P?-1
Added Net: Name=VBAT
Added Member To Class: ClassName=bottom_schem Member=Component D? RGB LED
Added Member To Class: ClassName=bottom_schem Member=Component D? RGB LED
Added Member To Class: ClassName=bottom_schem Member=Component D? RGB LED
Added Member To Class: ClassName=bottom_schem Member=Component DS? HLMP-4740
Added Member To Class: ClassName=bottom_schem Member=Component DS? HLMP-4740
Added Member To Class: ClassName=bottom_schem Member=Component P? Header 16
Added Member To Class: ClassName=bottom_schem Member=Component P? Header 12
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component Q? 2N5087RLRAG
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
Added Member To Class: ClassName=bottom_schem Member=Component R? Res1
